Instance;Mode;Algorithm;Run;K;Time
games120.col;greedy;TS;8;9;0.06420875
games120.col;greedy;HS;8;9;0.0821037083333333
games120.col;greedy;TS;9;9;0.0647253333333333
games120.col;greedy;HS;9;9;0.0825064166666667
games120.col;greedy;TS;10;9;0.0649500833333333
games120.col;greedy;HS;10;9;0.0805803333333333
games120.col;random;TS;1;9;0.0732853333333333
games120.col;random;HS;1;9;0.137672
games120.col;random;TS;2;9;0.0921419166666667
games120.col;random;HS;2;9;0.154463916666667
games120.col;random;TS;3;9;0.071366875
games120.col;random;HS;3;9;0.1380705
games120.col;random;TS;4;9;0.0748525833333333
games120.col;random;HS;4;9;0.142231
games120.col;random;TS;5;9;0.0750774166666667
games120.col;random;HS;5;9;0.13426525
games120.col;random;TS;6;9;0.0745320416666667
games120.col;random;HS;6;9;0.1427325
games120.col;random;TS;7;9;0.08228475
games120.col;random;HS;7;9;0.142077958333333
games120.col;random;TS;8;9;0.0717692916666667
games120.col;random;HS;8;9;0.153604208333333
games120.col;random;TS;9;9;0.0737635833333333
games120.col;random;HS;9;9;0.150085541666667
games120.col;random;TS;10;9;0.0730434583333333
games120.col;random;HS;10;9;0.155718625
miles250.col;greedy;TS;1;8;0.0668606666666667
miles250.col;greedy;HS;1;8;0.093331875
miles250.col;greedy;TS;2;8;0.0667279166666667
miles250.col;greedy;HS;2;8;0.0899138333333333
miles250.col;greedy;TS;3;8;0.067476
miles250.col;greedy;HS;3;8;0.0933579166666667
miles250.col;greedy;TS;4;8;0.0676235833333333
miles250.col;greedy;HS;4;8;0.0929442083333333
miles250.col;greedy;TS;5;8;0.066853375
miles250.col;greedy;HS;5;8;0.0923405416666667
miles250.col;greedy;TS;6;8;0.06573625
miles250.col;greedy;HS;6;8;0.0919587916666667
miles250.col;greedy;TS;7;8;0.065474125
miles250.col;greedy;HS;7;8;0.0957782916666667
miles250.col;greedy;TS;8;8;0.0672155
miles250.col;greedy;HS;8;8;0.093284125
miles250.col;greedy;TS;9;8;0.067532875
miles250.col;greedy;HS;9;8;0.092678
miles250.col;greedy;TS;10;8;0.06714825
miles250.col;greedy;HS;10;8;0.094384125
miles250.col;random;TS;1;8;0.0747104583333333
miles250.col;random;HS;1;8;0.166939
miles250.col;random;TS;2;8;0.0674102916666667
miles250.col;random;HS;2;8;0.172656958333333
miles250.col;random;TS;3;8;0.0693136666666667
miles250.col;random;HS;3;9;0.130493333333333
miles250.col;random;TS;4;8;0.0669879166666667
miles250.col;random;HS;4;10;0.117383875
miles250.col;random;TS;5;8;0.0716753333333333
miles250.col;random;HS;5;9;0.129775291666667
miles250.col;random;TS;6;8;0.0677467083333333
miles250.col;random;HS;6;10;0.119843708333333
miles250.col;random;TS;7;8;0.073436625
miles250.col;random;HS;7;9;0.13817975
miles250.col;random;TS;8;8;0.0713662916666667
miles250.col;random;HS;8;9;0.134269958333333
miles250.col;random;TS;9;9;0.0641764166666667
miles250.col;random;HS;9;8;0.185659625
miles250.col;random;TS;10;8;0.0658884583333333
miles250.col;random;HS;10;9;0.139152791666667
myciel6.col;greedy;TS;1;7;0.027646
myciel6.col;greedy;HS;1;7;0.0391732083333333
myciel6.col;greedy;TS;2;7;0.0273619166666667
myciel6.col;greedy;HS;2;7;0.03907675
myciel6.col;greedy;TS;3;7;0.0270476666666667
myciel6.col;greedy;HS;3;7;0.0385759166666667
myciel6.col;greedy;TS;4;7;0.027182625
myciel6.col;greedy;HS;4;7;0.0389424166666667
myciel6.col;greedy;TS;5;7;0.0268300416666667
myciel6.col;greedy;HS;5;7;0.0387797916666667
myciel6.col;greedy;TS;6;7;0.0268602916666667
myciel6.col;greedy;HS;6;7;0.0386833333333333
myciel6.col;greedy;TS;7;7;0.0272139166666667
myciel6.col;greedy;HS;7;7;0.0394257916666667
myciel6.col;greedy;TS;8;7;0.0271739166666667
myciel6.col;greedy;HS;8;7;0.0390587083333333
myciel6.col;greedy;TS;9;7;0.02704775
myciel6.col;greedy;HS;9;7;0.0386305
myciel6.col;greedy;TS;10;7;0.02708225
myciel6.col;greedy;HS;10;7;0.0383905416666667
myciel6.col;random;TS;1;7;0.130614083333333
myciel6.col;random;HS;1;9;0.165502208333333
myciel6.col;random;TS;2;7;0.12259375
myciel6.col;random;HS;2;10;0.145194541666667
myciel6.col;random;TS;3;7;0.126647166666667
myciel6.col;random;HS;3;9;0.172178083333333
myciel6.col;random;TS;4;7;0.132599541666667
myciel6.col;random;HS;4;10;0.147105416666667
myciel6.col;random;TS;5;7;0.124185166666667
myciel6.col;random;HS;5;10;0.135130166666667
myciel6.col;random;TS;6;7;0.122982041666667
myciel6.col;random;HS;6;10;0.14212525
myciel6.col;random;TS;7;7;0.133231833333333
myciel6.col;random;HS;7;9;0.164573458333333
myciel6.col;random;TS;8;7;0.1260885
myciel6.col;random;HS;8;9;0.173053458333333
myciel6.col;random;TS;9;7;0.130051916666667
myciel6.col;random;HS;9;10;0.139305541666667
myciel6.col;random;TS;10;7;0.126810291666667
myciel6.col;random;HS;10;9;0.162600041666667
le450_5a.col;greedy;TS;1;10;0.372075333333333
le450_5a.col;greedy;HS;1;11;0.342344666666667
le450_5a.col;greedy;TS;2;9;0.676532375
le450_5a.col;greedy;HS;2;11;0.348766416666667
le450_5a.col;greedy;TS;3;11;0.273790291666667
le450_5a.col;greedy;HS;3;11;0.335220041666667
le450_5a.col;greedy;TS;4;9;0.688711
le450_5a.col;greedy;HS;4;11;0.350467708333333
le450_5a.col;greedy;TS;5;9;0.695194458333333
le450_5a.col;greedy;HS;5;11;0.346805791666667
le450_5a.col;greedy;TS;6;9;0.717492458333333
le450_5a.col;greedy;HS;6;11;0.345754166666667
le450_5a.col;greedy;TS;7;9;0.640125416666667
le450_5a.col;greedy;HS;7;11;0.346378166666667
le450_5a.col;greedy;TS;8;9;0.785832583333333
le450_5a.col;greedy;HS;8;11;0.341535
le450_5a.col;greedy;TS;9;10;0.362518583333333
le450_5a.col;greedy;HS;9;11;0.345961125
le450_5a.col;greedy;TS;10;9;0.733734208333333
le450_5a.col;greedy;HS;10;11;0.339392958333333
le450_5a.col;random;TS;1;10;8.59869333333333
le450_5a.col;random;HS;1;20;1.67056379166667
le450_5a.col;random;TS;2;10;8.85848870833333
le450_5a.col;random;HS;2;20;1.74773479166667
le450_5a.col;random;TS;3;10;8.58308941666667
le450_5a.col;random;HS;3;20;1.64721304166667
le450_5a.col;random;TS;4;10;8.42242283333333
le450_5a.col;random;HS;4;21;1.44042766666667
le450_5a.col;random;TS;5;10;8.56410883333333
le450_5a.col;random;HS;5;20;1.76188366666667
le450_5a.col;random;TS;6;9;9.37862329166667
le450_5a.col;random;HS;6;20;1.64312525
le450_5a.col;random;TS;7;10;8.63095883333333
le450_5a.col;random;HS;7;20;1.61226458333333
le450_5a.col;random;TS;8;11;8.28366833333333
le450_5a.col;random;HS;8;20;1.64170379166667
le450_5a.col;random;TS;9;10;8.33242641666667
le450_5a.col;random;HS;9;20;1.69600779166667
le450_5a.col;random;TS;10;10;8.49101183333333
le450_5a.col;random;HS;10;20;1.65240658333333
fpsol2.i.1.col;greedy;TS;1;65;0.368736125
fpsol2.i.1.col;greedy;HS;1;65;0.449594958333333
fpsol2.i.1.col;greedy;TS;2;65;0.37026525
fpsol2.i.1.col;greedy;HS;2;65;0.449924
fpsol2.i.1.col;greedy;TS;3;65;0.367787583333333
fpsol2.i.1.col;greedy;HS;3;65;0.452384041666667
fpsol2.i.1.col;greedy;TS;4;65;0.365862541666667
fpsol2.i.1.col;greedy;HS;4;65;0.452745666666667
fpsol2.i.1.col;greedy;TS;5;65;0.34324025
fpsol2.i.1.col;greedy;HS;5;65;0.453151458333333
fpsol2.i.1.col;greedy;TS;6;65;0.365011208333333
fpsol2.i.1.col;greedy;HS;6;65;0.453482458333333
fpsol2.i.1.col;greedy;TS;7;65;0.484041
fpsol2.i.1.col;greedy;HS;7;65;0.461834625
fpsol2.i.1.col;greedy;TS;8;65;0.345637125
fpsol2.i.1.col;greedy;HS;8;65;0.473980083333333
fpsol2.i.1.col;greedy;TS;9;65;0.380612958333333
fpsol2.i.1.col;greedy;HS;9;65;0.458232916666667
fpsol2.i.1.col;greedy;TS;10;65;0.376597958333333
fpsol2.i.1.col;greedy;HS;10;65;0.457208291666667
fpsol2.i.1.col;random;TS;1;122;26.4028855833333
fpsol2.i.1.col;random;HS;1;93;12.025324125
fpsol2.i.1.col;random;TS;2;121;26.5281775
fpsol2.i.1.col;random;HS;2;101;10.9498086666667
fpsol2.i.1.col;random;TS;3;119;28.3066295833333
fpsol2.i.1.col;random;HS;3;94;13.1902127083333
fpsol2.i.1.col;random;TS;4;128;25.9675614166667
fpsol2.i.1.col;random;HS;4;97;12.5139266666667
fpsol2.i.1.col;random;TS;5;117;28.978592
fpsol2.i.1.col;random;HS;5;95;13.0716357083333
fpsol2.i.1.col;random;TS;6;120;27.448294375
fpsol2.i.1.col;random;HS;6;95;12.3176962083333
fpsol2.i.1.col;random;TS;7;125;25.5061462083333
fpsol2.i.1.col;random;HS;7;93;13.1021815416667
fpsol2.i.1.col;random;TS;8;117;28.1237195833333
fpsol2.i.1.col;random;HS;8;101;10.5850528333333
fpsol2.i.1.col;random;TS;9;117;27.3075386666667
fpsol2.i.1.col;random;HS;9;99;11.95322725
fpsol2.i.1.col;random;TS;10;121;29.2546184583333
fpsol2.i.1.col;random;HS;10;99;12.4730714166667
queen8_8.col;greedy;TS;1;10;0.0477150416666667
queen8_8.col;greedy;HS;1;12;0.038543875
queen8_8.col;greedy;TS;2;10;0.0440377916666667
queen8_8.col;greedy;HS;2;12;0.0352710416666667
queen8_8.col;greedy;TS;3;10;0.045339875
queen8_8.col;greedy;HS;3;12;0.0384064583333333
queen8_8.col;greedy;TS;4;10;0.03861575
queen8_8.col;greedy;HS;4;12;0.0517353333333333
queen8_8.col;greedy;TS;5;10;0.03141175
queen8_8.col;greedy;HS;5;12;0.0305225
queen8_8.col;greedy;TS;6;10;0.03251325
queen8_8.col;greedy;HS;6;12;0.0299472083333333
queen8_8.col;greedy;TS;7;10;0.0345587083333333
queen8_8.col;greedy;HS;7;12;0.0347727083333333
queen8_8.col;greedy;TS;8;9;0.0987518333333333
queen8_8.col;greedy;HS;8;12;0.0285388333333333
queen8_8.col;greedy;TS;9;10;0.0330591666666667
queen8_8.col;greedy;HS;9;11;0.0322334583333333
queen8_8.col;greedy;TS;10;10;0.0366659583333333
queen8_8.col;greedy;HS;10;12;0.0288425416666667
queen8_8.col;random;TS;1;10;0.077855875
queen8_8.col;random;HS;1;16;0.057078875
queen8_8.col;random;TS;2;9;0.11025725
queen8_8.col;random;HS;2;15;0.0712333333333333
queen8_8.col;random;TS;3;10;0.0880274583333333
queen8_8.col;random;HS;3;15;0.0678756666666667
queen8_8.col;random;TS;4;10;0.086039625
queen8_8.col;random;HS;4;14;0.0854418333333333
queen8_8.col;random;TS;5;10;0.0831321666666667
queen8_8.col;random;HS;5;15;0.0699973333333333
queen8_8.col;random;TS;6;10;0.0709260416666667
queen8_8.col;random;HS;6;15;0.069350875
queen8_8.col;random;TS;7;10;0.0806668333333333
queen8_8.col;random;HS;7;15;0.0750964583333333
queen8_8.col;random;TS;8;10;0.071855625
queen8_8.col;random;HS;8;15;0.0696805833333333
queen8_8.col;random;TS;9;10;0.0832447083333333
queen8_8.col;random;HS;9;15;0.0691554583333333
queen8_8.col;random;TS;10;10;0.074685375
queen8_8.col;random;HS;10;15;0.0677360833333333
queen13_13.col;greedy;TS;1;16;0.217263916666667
queen13_13.col;greedy;HS;1;19;0.314818416666667
queen13_13.col;greedy;TS;2;16;0.220333
queen13_13.col;greedy;HS;2;20;0.186626625
queen13_13.col;greedy;TS;3;16;0.24132325
queen13_13.col;greedy;HS;3;20;0.191314666666667
queen13_13.col;greedy;TS;4;16;0.225866958333333
queen13_13.col;greedy;HS;4;20;0.194365083333333
queen13_13.col;greedy;TS;5;16;0.238965666666667
queen13_13.col;greedy;HS;5;20;0.20161575
queen13_13.col;greedy;TS;6;16;0.263502125
queen13_13.col;greedy;HS;6;20;0.202702833333333
queen13_13.col;greedy;TS;7;16;0.229464375
queen13_13.col;greedy;HS;7;20;0.204814375
queen13_13.col;greedy;TS;8;16;0.304777708333333
queen13_13.col;greedy;HS;8;19;0.250341333333333
queen13_13.col;greedy;TS;9;15;0.478298583333333
queen13_13.col;greedy;HS;9;20;0.197639416666667
queen13_13.col;greedy;TS;10;16;0.257619375
queen13_13.col;greedy;HS;10;20;0.199978
queen13_13.col;random;TS;1;16;1.65748929166667
queen13_13.col;random;HS;1;28;0.931650416666667
queen13_13.col;random;TS;2;15;1.847766875
queen13_13.col;random;HS;2;28;0.8555755
queen13_13.col;random;TS;3;15;1.78723791666667
queen13_13.col;random;HS;3;28;0.911633541666667
queen13_13.col;random;TS;4;16;1.68948491666667
queen13_13.col;random;HS;4;29;0.850058958333333
queen13_13.col;random;TS;5;16;1.68873341666667
queen13_13.col;random;HS;5;30;0.716924791666667
queen13_13.col;random;TS;6;16;1.67293158333333
queen13_13.col;random;HS;6;29;0.783018708333333
queen13_13.col;random;TS;7;16;1.62877308333333
queen13_13.col;random;HS;7;30;0.703547791666667
queen13_13.col;random;TS;8;15;1.85106870833333
queen13_13.col;random;HS;8;29;0.795993291666667
queen13_13.col;random;TS;9;15;1.73215275
queen13_13.col;random;HS;9;28;0.843802333333333
queen13_13.col;random;TS;10;16;1.67558475
queen13_13.col;random;HS;10;30;0.639540791666667
DSJC250.5.col;greedy;TS;1;36;0.773859
DSJC250.5.col;greedy;HS;1;37;0.365829458333333
DSJC250.5.col;greedy;TS;2;36;0.822876833333333
DSJC250.5.col;greedy;HS;2;39;0.301965083333333
DSJC250.5.col;greedy;TS;3;36;1.353877375
DSJC250.5.col;greedy;HS;3;38;0.437308083333333
DSJC250.5.col;greedy;TS;4;37;0.760669625
DSJC250.5.col;greedy;HS;4;39;0.296762625
DSJC250.5.col;greedy;TS;5;36;1.033531375
DSJC250.5.col;greedy;HS;5;39;0.295104333333333
DSJC250.5.col;greedy;TS;6;38;0.4480905
DSJC250.5.col;greedy;HS;6;38;0.342251125
DSJC250.5.col;greedy;TS;7;36;0.972306333333333
DSJC250.5.col;greedy;HS;7;38;0.328925458333333
DSJC250.5.col;greedy;TS;8;37;0.856658291666667
DSJC250.5.col;greedy;HS;8;38;0.50127375
DSJC250.5.col;greedy;TS;9;38;0.350061458333333
DSJC250.5.col;greedy;HS;9;38;0.357768958333333
DSJC250.5.col;greedy;TS;10;36;0.900735541666667
DSJC250.5.col;greedy;HS;10;38;0.327345666666667
DSJC250.5.col;random;TS;1;36;44.9311840833333
DSJC250.5.col;random;HS;1;96;3.007175125
DSJC250.5.col;random;TS;2;35;45.426327375
DSJC250.5.col;random;HS;2;96;2.56543220833333
DSJC250.5.col;random;TS;3;35;45.058957125
DSJC250.5.col;random;HS;3;94;2.98628570833333
DSJC250.5.col;random;TS;4;45;40.5913669166667
DSJC250.5.col;random;HS;4;95;2.951067375
DSJC250.5.col;random;TS;5;34;45.8630876666667
DSJC250.5.col;random;HS;5;92;3.56185983333333
DSJC250.5.col;random;TS;6;38;43.5695514583333
DSJC250.5.col;random;HS;6;95;3.16121979166667
DSJC250.5.col;random;TS;7;37;44.4912607083333
DSJC250.5.col;random;HS;7;94;3.199494375
DSJC250.5.col;random;TS;8;36;44.9255239166667
DSJC250.5.col;random;HS;8;92;2.92183508333333
DSJC250.5.col;random;TS;9;35;44.9416906666667
DSJC250.5.col;random;HS;9;92;3.485757875
DSJC250.5.col;random;TS;10;36;44.9163059166667
DSJC250.5.col;random;HS;10;93;3.61386979166667
DSJC500.1.col;greedy;TS;1;15;1.47294729166667
DSJC500.1.col;greedy;HS;1;17;0.518538666666667
DSJC500.1.col;greedy;TS;2;15;1.00958491666667
DSJC500.1.col;greedy;HS;2;17;0.555001416666667
DSJC500.1.col;greedy;TS;3;16;0.652624125
DSJC500.1.col;greedy;HS;3;17;0.57007825
DSJC500.1.col;greedy;TS;4;16;0.609677166666667
DSJC500.1.col;greedy;HS;4;17;0.580981458333333
DSJC500.1.col;greedy;TS;5;15;1.454715875
DSJC500.1.col;greedy;HS;5;16;0.797253958333333
DSJC500.1.col;greedy;TS;6;16;0.709751625
DSJC500.1.col;greedy;HS;6;17;0.581946041666667
DSJC500.1.col;greedy;TS;7;15;1.45516120833333
DSJC500.1.col;greedy;HS;7;17;0.524679416666667
DSJC500.1.col;greedy;TS;8;15;1.49664883333333
DSJC500.1.col;greedy;HS;8;17;0.533000916666667
DSJC500.1.col;greedy;TS;9;16;1.054272125
DSJC500.1.col;greedy;HS;9;17;0.55934175
DSJC500.1.col;greedy;TS;10;16;0.587453
DSJC500.1.col;greedy;HS;10;17;0.581619041666667
DSJC500.1.col;random;TS;1;15;36.716037
DSJC500.1.col;random;HS;1;39;3.81446520833333
DSJC500.1.col;random;TS;2;16;35.0758886666667
DSJC500.1.col;random;HS;2;38;3.94611454166667
DSJC500.1.col;random;TS;3;15;37.737762875
DSJC500.1.col;random;HS;3;38;4.11576466666667
DSJC500.1.col;random;TS;4;16;35.3047579583333
DSJC500.1.col;random;HS;4;38;3.90027716666667
DSJC500.1.col;random;TS;5;16;35.2214411666667
DSJC500.1.col;random;HS;5;37;4.17537441666667
DSJC500.1.col;random;TS;6;15;35.9618829583333
DSJC500.1.col;random;HS;6;39;3.47485141666667
DSJC500.1.col;random;TS;7;15;36.3769864166667
